sample	viral_hit
IT1	YP_008241155.1 structural protein [Cellulophaga phage phi46:3]
IT1	YP_008242145.1 virion structural protein [Cellulophaga phage phi13:2]
IT1	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010112556.1 hypothetical protein KNV51_gp26 [uncultured phage cr4_1]
IT1	YP_010111146.1 hypothetical protein KNV36_gp052 [uncultured phage cr108_1]
IT1	YP_008241505.1 hypothetical protein Phi17:2_gp010 [Cellulophaga phage phi17:2]
IT1	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010108900.1 hypothetical protein KNV10_gp28 [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT1	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010111031.1 hypothetical protein KNV35_gp62 [uncultured phage cr8_1]
IT1	YP_009779081.1 virion structural protein [Cyanophage S-RIM12 isolate RW_01_0310]
IT1	YP_010358672.1 portal protein [uncultured phage cr30_1]
IT1	YP_010106326.1 hypothetical protein KNU90_gp042 [Bacteroides phage DAC15]
IT1	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT1	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT1	YP_009910790.1 putative RNA polymerase [Bacteroides phage crAss001]
IT1	YP_010108896.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT1	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT1	YP_007006034.1 ferredoxin [Cyanophage S-TIM5]
IT1	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010109072.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT1	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT1	YP_009777858.1 hypothetical protein HOQ54_gp30 [uncultured phage MedDCM-OCT-S46-C10]
IT1	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu
IT1	YP_010108995.1 structural protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT1	YP_008241156.1 hypothetical protein Phi46:3_gp113 [Cellulophaga phage phi46:3]
IT1	YP_008241155.1 structural protein [Cellulophaga phage phi46:3]
IT1	YP_008241307.1 virion structural protein [Cellulophaga phage phi18:3]
IT1	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_009783564.1 putative endonuclease [Bacillus phage BCU4]
IT1	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT1	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu
IT1	YP_010356829.1 structural protein [Tenacibaculum phage Gundel_1]
IT1	YP_008240907.1 hypothetical protein Phi19:3_gp122 [Cellulophaga phage phi19:3]
IT1	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT1	YP_008240905.1 virion structural protein [Cellulophaga phage phi19:3]
IT1	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT1	YP_009213539.1 tail fiber protein [Prochlorococcus phage P-TIM68]
IT1	YP_010110698.1 virion structural protein [uncultured phage cr1_1]
IT1	YP_008242242.2 DNA polymerase [Cellulophaga phage phi14:2]
IT1	Domain of unknown function (DUF932) [PF06067.15]
IT1	YP_010111321.1 VOG0020 [uncultured phage cr111_1]
IT1	YP_009840931.1 RIIA lysis inhibitor [Streptomyces phage Comrade]
IT1	YP_010111333.1 uracil-DNA glycosylase [uncultured phage cr111_1]
IT1	Domain of unknown function (DUF932) [PF06067.15]
IT1	YP_010359409.1 DNA primase [uncultured phage cr77_1]
IT1	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT1	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT1	YP_009323658.1 hypothetical protein BOW82_gp67 [Flavobacterium phage Fpv2]
IT1	YP_010110903.1 hypothetical protein KNV33_gp32 [uncultured phage cr10_1]
IT1	REFSEQ hypothetical protein; Xu
IT1	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT1	YP_009834218.1 hypothetical protein HWB26_gp31 [Lentibacter phage vB_LenP_ICBM2]
IT1	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT1	YP_008241154.1 virion structural protein [Cellulophaga phage phi46:3]
IT1	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT1	YP_010108900.1 hypothetical protein KNV10_gp28 [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT1	YP_010681051.1 hypothetical protein PQE73_gp155 [Bacillus phage vB_BanS_MrDarsey]
IT1	YP_008242242.2 DNA polymerase [Cellulophaga phage phi14:2]
IT1	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT2	YP_010112977.1 hypothetical protein KNV55_gp021 [uncultured phage cr114_1]
IT2	YP_008242145.1 virion structural protein [Cellulophaga phage phi13:2]
IT2	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	Photosynthesis system II assembly factor YCF48 [PF14870.10]
IT2	YP_010356521.1 hypothetical protein M1M21_gp27 [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_008242242.2 DNA polymerase [Cellulophaga phage phi14:2]
IT2	YP_008242272.1 pyrophosphatase [Cellulophaga phage phi14:2]
IT2	YP_010681051.1 hypothetical protein PQE73_gp155 [Bacillus phage vB_BanS_MrDarsey]
IT2	YP_010110698.1 virion structural protein [uncultured phage cr1_1]
IT2	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu
IT2	YP_010356829.1 structural protein [Tenacibaculum phage Gundel_1]
IT2	YP_008240907.1 hypothetical protein Phi19:3_gp122 [Cellulophaga phage phi19:3]
IT2	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT2	YP_008240905.1 virion structural protein [Cellulophaga phage phi19:3]
IT2	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_008241505.1 hypothetical protein Phi17:2_gp010 [Cellulophaga phage phi17:2]
IT2	REFSEQ hypothetical protein; Xu
IT2	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT2	YP_010356577.1 peptidase [Cellulophaga phage Calle_1]
IT2	YP_008241418.1 hypothetical protein Phi38:1_gp037 [Cellulophaga phage phi38:1]
IT2	YP_010356757.1 DNA repair protein [Tenacibaculum phage Gundel_1]
IT2	Family of unknown function (DUF5856) [PF19174.4]
IT2	YP_008320321.1 hypothetical protein N386_gp59 [Puniceispirillum phage HMO-2011]
IT2	YP_007675015.1 hypothetical protein CPKG_00042 [Cyanophage KBS-S-2A]
IT2	YP_008240888.1 terminase large subunit [Cellulophaga phage phi19:3]
IT2	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_008241142.1 virion structural protein [Cellulophaga phage phi46:3]
IT2	REFSEQ hypothetical protein; Xu
IT2	REFSEQ virion structural protein; Xu
IT2	REFSEQ virion structural protein; Xu
IT2	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT2	YP_010110695.1 hypothetical protein KNV31_gp076 [uncultured phage cr1_1]
IT2	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_008241307.1 virion structural protein [Cellulophaga phage phi18:3]
IT2	YP_008241155.1 structural protein [Cellulophaga phage phi46:3]
IT2	YP_008241156.1 hypothetical protein Phi46:3_gp113 [Cellulophaga phage phi46:3]
IT2	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_008241154.1 virion structural protein [Cellulophaga phage phi46:3]
IT2	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT2	YP_010111163.1 uracil-DNA glycosylase [uncultured phage cr108_1]
IT2	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT2	YP_010681051.1 hypothetical protein PQE73_gp155 [Bacillus phage vB_BanS_MrDarsey]
IT2	YP_010111164.1 hypothetical protein KNV36_gp034 [uncultured phage cr108_1]
IT2	YP_010111512.1 replicative DNA helicase [uncultured phage cr116_1]
IT2	YP_010112288.1 flagella-related protein H [uncultured phage cr56_1]
IT2	YP_010110684.1 DNA primase [uncultured phage cr1_1]
IT2	YP_010112223.1 Holliday junction resolvase [uncultured phage cr53_1]
IT2	YP_010109018.1 5'-3' exonuclease [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT2	YP_010845116.1 recombinase [Vibrio phage vB_VpaM_VPs20]
IT2	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_009783564.1 putative endonuclease [Bacillus phage BCU4]
IT2	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT2	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_004061630.1 hypothetical protein BpV1_200 [Bathycoccus sp. RCC1105 virus BpV1]
IT2	PA14 domain [PF07691.16]; GLEYA domain [PF10528.13]
IT2	YP_010804387.1 hypothetical protein QKU58_gp147 [Pyramimonas orientalis virus]
IT2	YP_010783635.1 proliferating cell nuclear antigen [Tetraselmis virus 1]
IT2	NP_150454.1 LSDV020 ribonucleotide reductase small subunit [Lumpy skin disease virus NI-2490]
IT2	YP_010112557.1 VOG1134 [uncultured phage cr4_1]
IT2	YP_009321933.1 hypothetical protein BOW81_gp64 [Flavobacterium phage Fpv20]
IT2	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT2	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT2	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh
IT2	YP_004957070.1 HNH endonuclease [Bacillus phage W.Ph.]
IT2	YP_009910790.1 putative RNA polymerase [Bacteroides phage crAss001]
IT2	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_007006034.1 ferredoxin [Cyanophage S-TIM5]
IT2	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_009005974.1 DNA polymerase [Rhizobium phage vB_RglS_P106B]
IT2	YP_008242262.1 ribosomal protein S6 glutaminyl transferase [Cellulophaga phage phi14:2]
IT2	YP_010510390.1 terminase large subunit [uncultured phage cr23_1]
IT2	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT2	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT2	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT2	YP_009213539.1 tail fiber protein [Prochlorococcus phage P-TIM68]
IT3	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_008241307.1 virion structural protein [Cellulophaga phage phi18:3]
IT3	YP_008240906.1 structural protein [Cellulophaga phage phi19:3]
IT3	YP_010356826.1 hypothetical protein M1M25_gp071 [Tenacibaculum phage Gundel_1]
IT3	YP_010356525.1 hypothetical protein M1M21_gp23 [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_008241155.1 structural protein [Cellulophaga phage phi46:3]
IT3	YP_008240905.1 virion structural protein [Cellulophaga phage phi19:3]
IT3	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_010108988.1 hypothetical protein KNV11_gp25 [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT3	YP_008241154.1 virion structural protein [Cellulophaga phage phi46:3]
IT3	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT3	YP_010112557.1 VOG1134 [uncultured phage cr4_1]
IT3	YP_010112157.1 terminase large subunit [uncultured phage cr52_1]
IT3	YP_008240888.1 terminase large subunit [Cellulophaga phage phi19:3]
IT3	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu
IT3	YP_010356829.1 structural protein [Tenacibaculum phage Gundel_1]
IT3	YP_008240907.1 hypothetical protein Phi19:3_gp122 [Cellulophaga phage phi19:3]
IT3	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT3	YP_008240905.1 virion structural protein [Cellulophaga phage phi19:3]
IT3	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT3	YP_009213539.1 tail fiber protein [Prochlorococcus phage P-TIM68]
IT3	YP_010110698.1 virion structural protein [uncultured phage cr1_1]
IT3	YP_010356161.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_010356521.1 hypothetical protein M1M21_gp27 [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	Photosynthesis system II assembly factor YCF48 [PF14870.10]
IT3	YP_010356163.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT3	YP_009840931.1 RIIA lysis inhibitor [Streptomyces phage Comrade]
IT3	YP_010111333.1 uracil-DNA glycosylase [uncultured phage cr111_1]
IT3	Domain of unknown function (DUF932) [PF06067.15]
IT3	YP_010359409.1 DNA primase [uncultured phage cr77_1]
IT3	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT3	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT3	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT3	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010108896.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT3	YP_008241470.1 co-chaperonin GroES [Cellulophaga phage phi38:1]
IT3	YP_009842606.1 RIIA lysis inhibitor [Streptomyces phage Gilson]
IT3	YP_010359660.1 Uracil-DNA glycosylase [uncultured phage cr18_1]
IT3	Domain of unknown function (DUF932) [PF06067.15]
IT3	YP_010113054.1 DNA primase [uncultured phage cr115_1]
IT3	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT3	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT3	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT3	YP_010109060.1 tail fiber protein [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT3	YP_009855424.1 amidase [Flavobacterium phage vB_FspS_stinky9-1]
IT3	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT3	YP_010109072.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT3	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT3	YP_010108898.1 structural protein [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT3	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_010845116.1 recombinase [Vibrio phage vB_VpaM_VPs20]
IT3	YP_010109018.1 5'-3' exonuclease [Flavobacterium phage vB_FspP_elemoE_6-9C]
IT3	YP_010112223.1 Holliday junction resolvase [uncultured phage cr53_1]
IT3	YP_010110684.1 DNA primase [uncultured phage cr1_1]
IT3	YP_010111333.1 uracil-DNA glycosylase [uncultured phage cr111_1]
IT3	YP_010359403.1 DNA helicase [uncultured phage cr77_1]
IT3	YP_010358912.1 AAA domain, phage P-loop domain, flagella-related protein H [uncultured phage cr149_1]
IT3	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
IT3	REFSEQ virion structural protein; Xu
IT3	REFSEQ virion structural protein; Xu
IT3	REFSEQ hypothetical protein; Xu
IT3	YP_008241142.1 virion structural protein [Cellulophaga phage phi46:3]
IT3	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT3	YP_008240888.1 terminase large subunit [Cellulophaga phage phi19:3]
IT3	YP_007675015.1 hypothetical protein CPKG_00042 [Cyanophage KBS-S-2A]
IT3	YP_008320321.1 hypothetical protein N386_gp59 [Puniceispirillum phage HMO-2011]
IT3	Family of unknown function (DUF5856) [PF19174.4]
IT3	YP_008241505.1 hypothetical protein Phi17:2_gp010 [Cellulophaga phage phi17:2]
IT3	YP_010111146.1 hypothetical protein KNV36_gp052 [uncultured phage cr108_1]
IT3	YP_010510223.1 Sak4-like ssDNA annealing protein [uncultured phage cr35_1]
IT3	YP_010113156.1 DNA helicase [uncultured phage cr125_1]
IT3	YP_010359485.1 Uracil-DNA glycosylase [uncultured phage cr44_1]
IT3	YP_010510356.1 virion structural protein [uncultured phage cr23_1]
IT3	YP_010681051.1 hypothetical protein PQE73_gp155 [Bacillus phage vB_BanS_MrDarsey]
IT3	YP_009321936.1 hypothetical protein BOW81_gp67 [Flavobacterium phage Fpv20]
IT3	YP_009910814.1 uracil-DNA glycosylase [Bacteroides phage crAss001]
IT3	YP_010358867.1 homing endonuclease [uncultured phage cr149_1]
IT3	YP_009600640.1 UNVERIFIED: putative DNA polymerase [Proteus phage VB_PmiS-Isfahan]
IT3	Transcriptional regulatory protein, C terminal [PF00486.32]
IT3	YP_010110903.1 hypothetical protein KNV33_gp32 [uncultured phage cr10_1]
IT3	REFSEQ hypothetical protein; Xu
IT3	YP_009910790.1 putative RNA polymerase [Bacteroides phage crAss001]
IT3	YP_010111144.1 hypothetical protein KNV36_gp054 [uncultured phage cr108_1]
IT3	YP_010359242.1 putative RNAP catalytic subunit/unknown RNAP subunit fusion protein [uncultured phage cr99_1]
IT3	YP_010111676.1 replicative DNA helicase [uncultured phage cr85_1]
IT3	YP_009598790.1 HNH endonuclease [Ralstonia phage RP12]
IT3	sp|P20703|UVSW_BPT4 ATP-dependent DNA helicase uvsW; Xh
IT3	YP_010111819.1 Sak4-like ssDNA annealing protein [uncultured phage cr128_1]
IT3	YP_010110469.1 hypothetical protein KNV29_gp076 [uncultured phage cr106_1]
IT3	YP_010359409.1 DNA primase [uncultured phage cr77_1]
IT3	Domain of unknown function (DUF932) [PF06067.15]
IT3	YP_010111333.1 uracil-DNA glycosylase [uncultured phage cr111_1]
IT3	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT3	YP_010108896.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT3	YP_010108985.1 portal protein [Flavobacterium phage vB_FspP_elemoF_6-3D]
IT3	YP_010113162.1 DNA primase [uncultured phage cr125_1]
IT3	YP_009273270.1 RecT-like ssDNA annealing protein [Gordonia phage GMA1]
IT4	YP_009216812.1 hypothetical protein AVV48_gp44 [Acinetobacter phage phiAC-1]
IT4	YP_010111146.1 hypothetical protein KNV36_gp052 [uncultured phage cr108_1]
IT4	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010112618.1 portal protein [uncultured phage cr4_1]
IT4	YP_009779081.1 virion structural protein [Cyanophage S-RIM12 isolate RW_01_0310]
IT4	YP_010111144.1 hypothetical protein KNV36_gp054 [uncultured phage cr108_1]
IT4	YP_008242242.2 DNA polymerase [Cellulophaga phage phi14:2]
IT4	YP_010111321.1 VOG0020 [uncultured phage cr111_1]
IT4	YP_010110695.1 hypothetical protein KNV31_gp076 [uncultured phage cr1_1]
IT4	YP_009981792.1 putative HKD family nuclease [IAS virus]
IT4	YP_010509601.1 AAA domain, phage P-loop domain, flagella-related protein H [uncultured phage cr12_1]
IT4	YP_010113156.1 DNA helicase [uncultured phage cr125_1]
IT4	YP_010111525.1 uracil-DNA glycosylase [uncultured phage cr116_1]
IT4	YP_010111144.1 hypothetical protein KNV36_gp054 [uncultured phage cr108_1]
IT4	YP_010111144.1 hypothetical protein KNV36_gp054 [uncultured phage cr108_1]
IT4	YP_001294601.1 ribosomal protein S6 glutaminyl transferase [Pseudomonas phage PA11]
IT4	YP_010111165.1 VOG3681 [uncultured phage cr108_1]
IT4	YP_008242265.1 amidoligase enzyme [Cellulophaga phage phi14:2]
IT4	sp|Q9T1Q4|VP44_BPAPS Putative nuclease p44; Xu
IT4	YP_010356829.1 structural protein [Tenacibaculum phage Gundel_1]
IT4	YP_008240907.1 hypothetical protein Phi19:3_gp122 [Cellulophaga phage phi19:3]
IT4	YP_008242146.1 structural protein [Cellulophaga phage phi13:2]
IT4	YP_008240905.1 virion structural protein [Cellulophaga phage phi19:3]
IT4	YP_010356164.1 virion structural protein [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356522.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356162.1 hypothetical protein M1M19_gp27 [Flavobacterium phage vB_FspP_elemoB_14-3B]
IT4	YP_010356520.1 virion structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356519.1 structural protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356518.1 portal protein [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010356517.1 terminase large subunit [Flavobacterium phage vB_FspP_elemoC_14-1A]
IT4	YP_010108895.1 co-chaperonin GroES [Flavobacterium phage vB_FspP_elemoA_7-9A]
IT4	YP_009213539.1 tail fiber protein [Prochlorococcus phage P-TIM68]
IT4	YP_008241478.1 virion structural protein [Cellulophaga phage phi38:1]
